rider_class,stage_class,N,Mean,SD,Median,Q1,Q3
All Rounder,flat,102,15.441176470588236,28.2816714706976,8.0,0.0,19.25
All Rounder,hills,136,35.786764705882355,57.459216852539775,12.5,0.0,41.5
All Rounder,mount,85,67.4235294117647,88.9558981784136,17.0,0.0,99.0
Climber,flat,138,5.094202898550725,6.230239044938148,1.5,0.0,8.75
Climber,hills,184,21.668478260869566,45.98448165265008,7.0,0.0,16.5
Climber,mount,115,35.86086956521739,57.01998525548274,12.0,0.0,36.0
Sprinter,flat,174,38.97701149425287,63.58826681524148,2.5,0.0,50.0
Sprinter,hills,232,5.202586206896552,21.950897431414607,0.0,0.0,2.0
Sprinter,mount,145,2.0413793103448277,5.88651455785567,0.0,0.0,0.0
Unclassed,flat,690,5.740579710144927,19.801356177921974,0.0,0.0,3.75
Unclassed,hills,920,9.096739130434782,30.662584910653543,0.0,0.0,3.0
Unclassed,mount,575,2.951304347826087,7.9056541008705645,0.0,0.0,0.0
